DATA_BASE;TIPO_DESENROLA;UNIDADE_FEDERACAO;COD_CONGLOMERADO_FINANCEIRO;NOME_CONGLOMERADO_FINANCEIRO;NUMERO_OPERACOES;VOLUME_OPERACOES
202309;2;AC;49906;BB;142;1421991,10
202309;2;AC;10045;BRADESCO;16;90218,03
202309;2;AC;49944;BTG PACTUAL;7;37788,79
202309;2;AC;51626;CAIXA ECONÔMICA FEDERAL;84;248870,72
202309;2;AC;51884;INTER;4;12306,86
202309;2;AC;10069;ITAU;151;333897,03
202309;2;AC;30379;SANTANDER;233;1027317,93
202309;2;AC;51011;VOTORANTIM;17;64294,81
202309;2;AL;49906;BB;367;1917690,10
202309;2;AL;13009717;BCO DO EST. DE SE S.A.;1;3362,67
202309;2;AL;10045;BRADESCO;105;502908,60
202309;2;AL;49944;BTG PACTUAL;21;132834,28
202309;2;AL;51626;CAIXA ECONÔMICA FEDERAL;309;691722,92
202309;2;AL;51884;INTER;35;134482,05
202309;2;AL;10069;ITAU;1371;2973286,34
202309;2;AL;30379;SANTANDER;1259;4862290,24
202309;2;AL;51011;VOTORANTIM;46;148186,14
202309;2;AM;49906;BB;314;2518639,82
202309;2;AM;10045;BRADESCO;373;2495039,80
202309;2;AM;49944;BTG PACTUAL;21;153686,00
202309;2;AM;51626;CAIXA ECONÔMICA FEDERAL;223;442114,05
202309;2;AM;51884;INTER;25;89143,16
202309;2;AM;10069;ITAU;1311;3176167,92
202309;2;AM;30379;SANTANDER;2052;8615856,87
202309;2;AM;51011;VOTORANTIM;63;596996,53
202309;2;AP;49906;BB;225;2121383,88
202309;2;AP;10045;BRADESCO;19;188133,01
202309;2;AP;49944;BTG PACTUAL;6;34749,99
202309;2;AP;51626;CAIXA ECONÔMICA FEDERAL;64;148091,84
202309;2;AP;51884;INTER;14;48998,53
202309;2;AP;10069;ITAU;205;490666,87
202309;2;AP;30379;SANTANDER;414;1486853,79
202309;2;AP;51011;VOTORANTIM;11;59548,56
202309;2;BA;49906;BB;1558;11455996,41
202309;2;BA;10045;BRADESCO;693;3738035,79
202309;2;BA;49944;BTG PACTUAL;76;357937,08
202309;2;BA;51626;CAIXA ECONÔMICA FEDERAL;1210;2084712,17
202309;2;BA;51884;INTER;129;566278,33
202309;2;BA;10069;ITAU;6864;15299853,98
202309;2;BA;30379;SANTANDER;8244;29709442,26
202309;2;BA;51011;VOTORANTIM;191;1266416,90
202309;2;CE;49906;BB;978;7045332,26
202309;2;CE;10045;BRADESCO;426;2947024,17
202309;2;CE;49944;BTG PACTUAL;41;175565,65
202309;2;CE;51626;CAIXA ECONÔMICA FEDERAL;708;1276069,72
202309;2;CE;51884;INTER;73;359363,32
202309;2;CE;10069;ITAU;4019;8963943,61
202309;2;CE;30379;SANTANDER;4279;17068515,26
202309;2;CE;51011;VOTORANTIM;156;781478,01
202309;2;DF;49906;BB;405;4391292,31
202309;2;DF;10045;BRADESCO;166;902132,48
202309;2;DF;49944;BTG PACTUAL;35;217515,46
202309;2;DF;51626;CAIXA ECONÔMICA FEDERAL;438;1032363,04
202309;2;DF;51884;INTER;56;344677,61
202309;2;DF;10069;ITAU;2253;6196866,22
202309;2;DF;30379;SANTANDER;2521;14454591,44
202309;2;DF;51011;VOTORANTIM;77;447945,12
202309;2;ES;49906;BB;288;1930176,07
202309;2;ES;10045;BRADESCO;154;1078596,58
202309;2;ES;49944;BTG PACTUAL;15;42593,50
202309;2;ES;51626;CAIXA ECONÔMICA FEDERAL;363;705163,35
202309;2;ES;51884;INTER;55;241071,37
202309;2;ES;10069;ITAU;1500;3534569,45
202309;2;ES;30379;SANTANDER;2048;8610185,73
202309;2;ES;51011;VOTORANTIM;93;512299,67
202309;2;GO;49906;BB;645;4531370,70
202309;2;GO;10045;BRADESCO;326;2092034,08
202309;2;GO;49944;BTG PACTUAL;42;238775,52
202309;2;GO;51626;CAIXA ECONÔMICA FEDERAL;1056;2094997,46
202309;2;GO;51884;INTER;71;336370,26
202309;2;GO;10069;ITAU;3925;9509742,84
202309;2;GO;30379;SANTANDER;3660;15272971,32
202309;2;GO;51011;VOTORANTIM;163;1107318,09
202309;2;MA;49906;BB;1096;7652356,52
202309;2;MA;10045;BRADESCO;244;1208540,69
202309;2;MA;49944;BTG PACTUAL;26;217307,68
202309;2;MA;51626;CAIXA ECONÔMICA FEDERAL;336;549677,17
202309;2;MA;51884;INTER;28;122828,61
202309;2;MA;10069;ITAU;1436;3105378,51
202309;2;MA;30379;SANTANDER;1945;7408653,24
202309;2;MA;51011;VOTORANTIM;79;688348,17
